RAY SMEDLEY,,CHRIS PHELPS,,BRIAN O'DONNELL,,LEIGH BURNS (CAPT),,MICHAEL HOLMES,,DALE BURNS,,CHRIS BAKER,,BRENDON KING,,ANDREW KELMAN,,BRENDON KING
IAN BRAY,,PETER WYLLIE,,IAN BRAY,,CHRIS PHELPS,,PETER WYLLIE,,PETER WYLLIE,,DARRYL MORGAN,,PETER WYLLIE,,KARAN MEHTA,,DALE BURNS
DON SKIPWORTH,,RON COLES,,JUSTIN LOCKYER (CAPT),,DAVID LOVELL,,BRENDON KING (CAPT),,CHRIS PHELPS,,DEAN FRISKIN,,CHRIS PHELPS (CAPT),,MARTIN CRUMP,,MITCH MORLEY
ROB LAWSON,,MARK ROWE,,ROB LAWSON,,PETER WYLLIE,,PAUL GILLAM,,MICHAEL HOLMES,,KARAN MEHTA,,CRAIG WHITE,,ROD TREGENZA,,JOSH PETERSON
BRIAN O'DONNELL,,WAYNE REID,,DON SKIPWORTH,,WAYNE REID,,CRAIG WHITE,,MARK CHAPELHOW,,MICHAEL GRIFFITHS,,MICK CARLTON,,CHRIS BAKER,,GRANT MATTHEWS
JUSTIN LOCKYER (CAPT),,ALLAN WILLEY,,MATT BLACKWELL,,CHRIS BAKER,,CHRIS BAKER,,WAYNE REID,,JASON CLARKE,,WADE BLOM,,PETER BOYCE,,MATT GUYTON
BRIAN CULLEN,,ROGER WREN,,BRIAN CULLEN,,MATT GUYTON,,RICK TYSON,,ROD TREGENZA,,ANTHONY BROKATE,,WAYNE REID,,STEVE HOWELL,,MATT GORDON
MATT BLACKWELL,,DARRYL MORGAN,,AARON FITZPATRICK,,ROGER WREN,,AARON THOMAS,,SIMON NOBLE,,CHRIS HICKMAN (CAPT),,MATT GUYTON,,DENNIS BLAND,,ROGER WREN
CHRIS HICKMAN,,DALE GUMBLETON,,CHRIS HICKMAN,,BRIAN CULLEN,,JUDD PRENTICE,,,,DENNIS BLAND,,ANTHONY BROKATE,,LEIGH ELDER,,LIAM BLAMPIED
,,,,,,,,,,M.O.M - CARY GREEN,,,,,,,,
M.O.M - RAY SMEDLEY,,M.O.M - PETER WYLLIE,,M.O.M - BRIAN CULLEN,,M.O.M - LEIGH BURNS,,M.O.M - RICK TYSON,,,,,,M.O.M - PETER WYLLIE,,M.O.M - DENNIS BLAND,,M.O.M - CHRIS PHELPS
,,,,,,,,,,HALLS HEAD 8/227,,,,,,,,
HALLS HEAD 2/134,,HALLS HEAD 8/215,,HALLS HEAD 134,,HALLS HEAD 8/231,,HALLS HEAD 8/179,,DEF,,HALLS HEAD 8/164,,HALLS HEAD 8/211,,HALLS HEAD 9/179,,HALLS HEAD 195
DEF,,DEF,,DEF,,DEF,,DEF,,MANDURAH 7/223,,DEF,,DEF,,DEF,,DEF
OLD IRWINIANS 132,,MANDURAH 196,,SHOALWATER 89,,MANDURAH 80,,MANDURAH 9/175,,,,SAFETY BAY 162,,PINJARRA 210,,PINJARRA 113,,SHOALWATER 146
,,,,,,,,,,,,,,,,,,
