Year,Grade,Competition,Venue,Match Date,Result,Man of the Match,Player,Captain,Batting Order
1997,A Grade,A GRADE,RUSHTON PARK,1997-03-22,Halls Head 5/127 def MANDURAH 124,PAUL GILLAM,DALE BURNS,,4
1997,A Grade,A GRADE,RUSHTON PARK,1997-03-22,Halls Head 5/127 def MANDURAH 124,PAUL GILLAM,PETER WYLLIE,Yes,5
1997,A Grade,A GRADE,RUSHTON PARK,1997-03-22,Halls Head 5/127 def MANDURAH 124,PAUL GILLAM,WAYNE REID,,6
1997,A Grade,A GRADE,RUSHTON PARK,1997-03-22,Halls Head 5/127 def MANDURAH 124,PAUL GILLAM,MAX CROOK,,7
1997,A Grade,A GRADE,RUSHTON PARK,1997-03-22,Halls Head 5/127 def MANDURAH 124,PAUL GILLAM,MARK ROWE,,8
1997,A Grade,A GRADE,RUSHTON PARK,1997-03-22,Halls Head 5/127 def MANDURAH 124,PAUL GILLAM,CHRIS BAKER,,9
1997,A Grade,A GRADE,RUSHTON PARK,1997-03-22,Halls Head 5/127 def MANDURAH 124,PAUL GILLAM,ALLAN WILLEY,,10
1997,A Grade,A GRADE,RUSHTON PARK,1997-03-22,Halls Head 5/127 def MANDURAH 124,PAUL GILLAM,ROGER WREN,,11
1997,B Grade,B GRADE,PEELWOOD #2,1997-03-22,Halls Head 6/173 def WAROONA 8/171,PHIL BAILEY,PETER HUNTER,,1
1997,B Grade,B GRADE,PEELWOOD #2,1997-03-22,Halls Head 6/173 def WAROONA 8/171,PHIL BAILEY,LAURIE CROSS,,2
1997,B Grade,B GRADE,PEELWOOD #2,1997-03-22,Halls Head 6/173 def WAROONA 8/171,PHIL BAILEY,PHIL BAILEY,,3
1997,B Grade,B GRADE,PEELWOOD #2,1997-03-22,Halls Head 6/173 def WAROONA 8/171,PHIL BAILEY,JEFF DILLON,,4
1997,B Grade,B GRADE,PEELWOOD #2,1997-03-22,Halls Head 6/173 def WAROONA 8/171,PHIL BAILEY,MICK O'BRIEN,,5
1997,B Grade,B GRADE,PEELWOOD #2,1997-03-22,Halls Head 6/173 def WAROONA 8/171,PHIL BAILEY,MARTIN CRUMP,Yes,6
1997,B Grade,B GRADE,PEELWOOD #2,1997-03-22,Halls Head 6/173 def WAROONA 8/171,PHIL BAILEY,BRIAN CULLEN,,7
1997,B Grade,B GRADE,PEELWOOD #2,1997-03-22,Halls Head 6/173 def WAROONA 8/171,PHIL BAILEY,JUSTIN LOCKYER,,8
1997,B Grade,B GRADE,PEELWOOD #2,1997-03-22,Halls Head 6/173 def WAROONA 8/171,PHIL BAILEY,IAN WALLACE,,9
1997,B Grade,B GRADE,PEELWOOD #2,1997-03-22,Halls Head 6/173 def WAROONA 8/171,PHIL BAILEY,DENNIS BLAND,,10
1997,B Grade,B GRADE,PEELWOOD #2,1997-03-22,Halls Head 6/173 def WAROONA 8/171,PHIL BAILEY,RICHIE STEVENSON,,11
1998,A Grade,A GRADE,WAROONA,1998-03-28,Halls Head 9/158 def OLD IRWINIANS 156,PETER WYLLIE,LEIGH BURNS,,1
1998,A Grade,A GRADE,WAROONA,1998-03-28,Halls Head 9/158 def OLD IRWINIANS 156,PETER WYLLIE,DARRYL MORGAN,,2
1998,A Grade,A GRADE,WAROONA,1998-03-28,Halls Head 9/158 def OLD IRWINIANS 156,PETER WYLLIE,MAX CROOK,,3
1998,A Grade,A GRADE,WAROONA,1998-03-28,Halls Head 9/158 def OLD IRWINIANS 156,PETER WYLLIE,CHRIS BAKER,,4
1998,A Grade,A GRADE,WAROONA,1998-03-28,Halls Head 9/158 def OLD IRWINIANS 156,PETER WYLLIE,DALE BURNS,Yes,5
